setting,action_basis,seed,threshold_hours_strict_lt,low_labor_rate_pct,n_agent_months,mean_hours,median_hours,p05_hours,p25_hours,p75_hours,p95_hours,min_hours,max_hours
finevo,executed,0,1.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,0,20.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,0,40.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,proposed,0,1.0,0.0,240,166.012,168.0,154.56,164.64,168.0,168.0,144.48,168.0
finevo,proposed,0,20.0,0.0,240,166.012,168.0,154.56,164.64,168.0,168.0,144.48,168.0
finevo,proposed,0,40.0,0.0,240,166.012,168.0,154.56,164.64,168.0,168.0,144.48,168.0
finevo,executed,1,1.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,1,20.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,1,40.0,1.6666666666666667,240,165.2,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,proposed,1,1.0,0.0,240,166.278,168.0,157.92,168.0,168.0,168.0,151.20000000000002,168.0
finevo,proposed,1,20.0,0.0,240,166.278,168.0,157.92,168.0,168.0,168.0,151.20000000000002,168.0
finevo,proposed,1,40.0,0.0,240,166.278,168.0,157.92,168.0,168.0,168.0,151.20000000000002,168.0
finevo,executed,2,1.0,0.8333333333333334,240,166.6,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,2,20.0,0.8333333333333334,240,166.6,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,2,40.0,0.8333333333333334,240,166.6,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,proposed,2,1.0,0.0,240,165.746,168.0,161.11200000000002,163.79999999999998,168.0,168.0,151.20000000000002,168.0
finevo,proposed,2,20.0,0.0,240,165.746,168.0,161.11200000000002,163.79999999999998,168.0,168.0,151.20000000000002,168.0
finevo,proposed,2,40.0,0.0,240,165.746,168.0,161.11200000000002,163.79999999999998,168.0,168.0,151.20000000000002,168.0
text-only,executed,0,1.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,0,20.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,0,40.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,proposed,0,1.0,0.0,240,164.70999999999998,164.64,161.28,164.64,164.64,168.0,141.12,168.0
text-only,proposed,0,20.0,0.0,240,164.70999999999998,164.64,161.28,164.64,164.64,168.0,141.12,168.0
text-only,proposed,0,40.0,0.0,240,164.70999999999998,164.64,161.28,164.64,164.64,168.0,141.12,168.0
text-only,executed,1,1.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,1,20.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,1,40.0,2.0833333333333335,240,164.5,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,proposed,1,1.0,0.0,240,163.828,164.64,147.84,164.64,164.64,168.0,141.12,168.0
text-only,proposed,1,20.0,0.0,240,163.828,164.64,147.84,164.64,164.64,168.0,141.12,168.0
text-only,proposed,1,40.0,0.0,240,163.828,164.64,147.84,164.64,164.64,168.0,141.12,168.0
text-only,executed,2,1.0,3.3333333333333335,240,162.4,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,2,20.0,3.3333333333333335,240,162.4,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,2,40.0,3.3333333333333335,240,162.4,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,proposed,2,1.0,0.0,240,160.34199999999998,164.64,137.76,157.92,164.64,164.64,120.96,164.64
text-only,proposed,2,20.0,0.0,240,160.34199999999998,164.64,137.76,157.92,164.64,164.64,120.96,164.64
text-only,proposed,2,40.0,0.0,240,160.34199999999998,164.64,137.76,157.92,164.64,164.64,120.96,164.64
