setting,action_basis,threshold_hours_strict_lt,n_seeds,seeds,n_agent_months,seed_rate_mean_pct,seed_rate_sd_pct,pooled_rate_pct,mean_hours,median_hours,p05_hours,p25_hours,p75_hours,p95_hours,min_hours,max_hours
text-only,executed,1.0,3,"0,1,2",720,2.5,0.7216878364870322,2.5,163.8,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,20.0,3,"0,1,2",720,2.5,0.7216878364870322,2.5,163.8,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,executed,40.0,3,"0,1,2",720,2.5,0.7216878364870322,2.5,163.8,168.0,168.0,168.0,168.0,168.0,0.0,168.0
text-only,proposed,1.0,3,"0,1,2",720,0.0,0.0,0.0,162.95999999999998,164.64,151.032,164.64,164.64,168.0,120.96,168.0
text-only,proposed,20.0,3,"0,1,2",720,0.0,0.0,0.0,162.95999999999998,164.64,151.032,164.64,164.64,168.0,120.96,168.0
text-only,proposed,40.0,3,"0,1,2",720,0.0,0.0,0.0,162.95999999999998,164.64,151.032,164.64,164.64,168.0,120.96,168.0
finevo,executed,1.0,3,"0,1,2",720,1.3888888888888888,0.4811252243246882,1.3888888888888888,165.66666666666666,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,20.0,3,"0,1,2",720,1.3888888888888888,0.4811252243246882,1.3888888888888888,165.66666666666666,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,executed,40.0,3,"0,1,2",720,1.3888888888888888,0.4811252243246882,1.3888888888888888,165.66666666666666,168.0,168.0,168.0,168.0,168.0,0.0,168.0
finevo,proposed,1.0,3,"0,1,2",720,0.0,0.0,0.0,166.012,168.0,157.92,164.64,168.0,168.0,144.48,168.0
finevo,proposed,20.0,3,"0,1,2",720,0.0,0.0,0.0,166.012,168.0,157.92,164.64,168.0,168.0,144.48,168.0
finevo,proposed,40.0,3,"0,1,2",720,0.0,0.0,0.0,166.012,168.0,157.92,164.64,168.0,168.0,144.48,168.0
