seed,api_access_date,metric,preferred_direction,visible_cue_control,no_visible_cue,no_visible_minus_visible,direction_adjusted_no_visible_benefit,visible_source,hidden_source
13,2026-07-10,avg_wealth_final,higher,188757.48341598042,180718.6975373944,-8038.78587858603,-8038.78587858603,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,gini_final,lower,0.3264502559365907,0.3594862941513497,0.03303603821475898,-0.03303603821475898,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,unemployment_final_pct,lower,0.0,0.0,0.0,-0.0,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,low_labor_h_lt_1_full_horizon_pct,lower,1.25,3.75,2.5,-2.5,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,inflation_dev_abs_pct,lower,42.47637524064832,41.42290016332241,-1.0534750773259134,1.0534750773259134,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,gdp_volatility_pct,lower,0.0,0.0,0.0,-0.0,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,invalid_action_rate,lower,0.0,0.0,0.0,-0.0,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,api_error_rate,lower,0.0,0.0,0.0,-0.0,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,total_cost_usd,lower,1.5701190000000003,1.5420330000000002,-0.028086000000000055,0.028086000000000055,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
13,2026-07-10,wall_time_min,lower,1.770901131629944,1.510606082280477,-0.2602950493494669,0.2602950493494669,runs/E9/GPT-5.2/finevo/visible-cue-control/seed_13,runs/E9/GPT-5.2/finevo/no-visible-cue/seed_13
