run_id,status,stage_id,model_id,arm_id,narrative_id,environment_seed,scientific_eligible,artifact_kind,metric_path,metric_value_json
finevo-pilot-v1--capability-preflight--gpt52_main--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,gpt52_main,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--capability-preflight--gpt56_upper--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,gpt56_upper,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--capability-preflight--opus48_sentinel--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,opus48_sentinel,capability-probe,none,2010922376,False,,,null
finevo-pilot-v1--capability-preflight--gemini35_flash_sentinel--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,gemini35_flash_sentinel,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--capability-preflight--llama4_maverick_sentinel--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,llama4_maverick_sentinel,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--capability-preflight--llama33_local_sentinel--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,capability-preflight,llama33_local_sentinel,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--q-ref-resolution--qref_scripted--qref-scripted--none--provider-preflight-default--s2010922376,complete,q-ref-resolution,qref_scripted,qref-scripted,none,2010922376,False,terminal-summary,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--center--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--center--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--psi-1--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--psi-1--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--psi-4--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--psi-4--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--nu-0.5--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--nu-0.5--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--nu-2--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--nu-2--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--q0-0.5x--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--q0-0.5x--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--q0-2x--s1942013315,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,1942013315,False,,,null
finevo-pilot-v1--stage0-calibration--gpt52_main--stage0-no-memory-no-context--none--q0-2x--s760687867,capability-no-go,stage0-calibration,gpt52_main,stage0-no-memory-no-context,none,760687867,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--no-context--none--stage0-selected--s1099057501,capability-no-go,experiment-a,gpt52_main,no-context,none,1099057501,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--no-context--none--stage0-selected--s1421875452,capability-no-go,experiment-a,gpt52_main,no-context,none,1421875452,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--no-context--none--stage0-selected--s1769977770,capability-no-go,experiment-a,gpt52_main,no-context,none,1769977770,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--no-context--none--stage0-selected--s959809858,capability-no-go,experiment-a,gpt52_main,no-context,none,959809858,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--no-context--none--stage0-selected--s617806385,capability-no-go,experiment-a,gpt52_main,no-context,none,617806385,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1099057501,capability-no-go,experiment-a,gpt52_main,prompt-only,none,1099057501,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1421875452,capability-no-go,experiment-a,gpt52_main,prompt-only,none,1421875452,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1769977770,capability-no-go,experiment-a,gpt52_main,prompt-only,none,1769977770,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s959809858,capability-no-go,experiment-a,gpt52_main,prompt-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s617806385,capability-no-go,experiment-a,gpt52_main,prompt-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1099057501,capability-no-go,experiment-a,gpt52_main,retrieval-only,none,1099057501,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1421875452,capability-no-go,experiment-a,gpt52_main,retrieval-only,none,1421875452,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1769977770,capability-no-go,experiment-a,gpt52_main,retrieval-only,none,1769977770,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s959809858,capability-no-go,experiment-a,gpt52_main,retrieval-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s617806385,capability-no-go,experiment-a,gpt52_main,retrieval-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--full--none--stage0-selected--s1099057501,capability-no-go,experiment-a,gpt52_main,full,none,1099057501,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--full--none--stage0-selected--s1421875452,capability-no-go,experiment-a,gpt52_main,full,none,1421875452,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--full--none--stage0-selected--s1769977770,capability-no-go,experiment-a,gpt52_main,full,none,1769977770,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--full--none--stage0-selected--s959809858,capability-no-go,experiment-a,gpt52_main,full,none,959809858,False,,,null
finevo-pilot-v1--experiment-a--gpt52_main--full--none--stage0-selected--s617806385,capability-no-go,experiment-a,gpt52_main,full,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--no-memory--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,no-memory,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--no-memory--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,no-memory,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--no-memory--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,no-memory,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--no-memory--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,no-memory,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--no-memory--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,no-memory,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,episodic-only,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,episodic-only,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,episodic-only,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,episodic-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,episodic-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,semantic-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,semantic-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1769977770,False,,,null
