run_id,status,stage_id,model_id,arm_id,narrative_id,environment_seed,scientific_eligible,artifact_kind,metric_path,metric_value_json
finevo-pilot-v2.11.2--parent-import--qref_scripted--parent-import--none--provider-preflight-default--s2010922376,complete,parent-import,qref_scripted,parent-import,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.11.2--capability-gate--gpt52_main--capability-probe--none--provider-preflight-default--s2010922376,complete,capability-gate,gpt52_main,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.11.2--capability-gate--gpt56_diagnostic--capability-probe--none--provider-preflight-default--s2010922376,complete,capability-gate,gpt56_diagnostic,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.11.2--long-context-preflight--gpt52_main--closed-loop-preflight--none--stage0-selected--s2010922376,complete,long-context-preflight,gpt52_main,closed-loop-preflight,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.11.2--long-context-preflight--gpt56_diagnostic--closed-loop-preflight--none--stage0-selected--s2010922376,complete,long-context-preflight,gpt56_diagnostic,closed-loop-preflight,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--full--none--stage0-selected--s1099057501,failed,experiment-c,gpt52_main,full,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--full--none--stage0-selected--s1421875452,failed,experiment-c,gpt52_main,full,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--full--none--stage0-selected--s1769977770,failed,experiment-c,gpt52_main,full,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--full--none--stage0-selected--s959809858,failed,experiment-c,gpt52_main,full,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--full--none--stage0-selected--s617806385,failed,experiment-c,gpt52_main,full,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-dual--none--stage0-selected--s1099057501,failed,experiment-c,gpt52_main,unverified-dual,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-dual--none--stage0-selected--s1421875452,failed,experiment-c,gpt52_main,unverified-dual,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-dual--none--stage0-selected--s1769977770,failed,experiment-c,gpt52_main,unverified-dual,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-dual--none--stage0-selected--s959809858,failed,experiment-c,gpt52_main,unverified-dual,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-dual--none--stage0-selected--s617806385,failed,experiment-c,gpt52_main,unverified-dual,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,complete,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,True,terminal-summary,metrics.rule_reliability.false_rule_ever_active,false
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,complete,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,True,terminal-summary,metrics.rule_reliability.provider_calls,0
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,complete,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,True,terminal-summary,metrics.rule_reliability.same_candidate_content,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,complete,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,True,terminal-summary,metrics.rule_reliability.unsupported_candidate_rejected,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,complete,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,True,terminal-summary,metrics.rule_reliability.unverified_false_rule_ever_active,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,complete,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,True,terminal-summary,metrics.rule_reliability.false_rule_ever_active,false
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,complete,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,True,terminal-summary,metrics.rule_reliability.provider_calls,0
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,complete,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,True,terminal-summary,metrics.rule_reliability.same_candidate_content,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,complete,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,True,terminal-summary,metrics.rule_reliability.unsupported_candidate_rejected,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,complete,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,True,terminal-summary,metrics.rule_reliability.unverified_false_rule_ever_active,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,complete,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,True,terminal-summary,metrics.rule_reliability.false_rule_ever_active,false
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,complete,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,True,terminal-summary,metrics.rule_reliability.provider_calls,0
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,complete,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,True,terminal-summary,metrics.rule_reliability.same_candidate_content,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,complete,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,True,terminal-summary,metrics.rule_reliability.unsupported_candidate_rejected,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,complete,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,True,terminal-summary,metrics.rule_reliability.unverified_false_rule_ever_active,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,complete,experiment-c,gpt52_main,verified-error-candidate,none,959809858,True,terminal-summary,metrics.rule_reliability.false_rule_ever_active,false
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,complete,experiment-c,gpt52_main,verified-error-candidate,none,959809858,True,terminal-summary,metrics.rule_reliability.provider_calls,0
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,complete,experiment-c,gpt52_main,verified-error-candidate,none,959809858,True,terminal-summary,metrics.rule_reliability.same_candidate_content,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,complete,experiment-c,gpt52_main,verified-error-candidate,none,959809858,True,terminal-summary,metrics.rule_reliability.unsupported_candidate_rejected,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,complete,experiment-c,gpt52_main,verified-error-candidate,none,959809858,True,terminal-summary,metrics.rule_reliability.unverified_false_rule_ever_active,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,complete,experiment-c,gpt52_main,verified-error-candidate,none,617806385,True,terminal-summary,metrics.rule_reliability.false_rule_ever_active,false
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,complete,experiment-c,gpt52_main,verified-error-candidate,none,617806385,True,terminal-summary,metrics.rule_reliability.provider_calls,0
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,complete,experiment-c,gpt52_main,verified-error-candidate,none,617806385,True,terminal-summary,metrics.rule_reliability.same_candidate_content,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,complete,experiment-c,gpt52_main,verified-error-candidate,none,617806385,True,terminal-summary,metrics.rule_reliability.unsupported_candidate_rejected,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,complete,experiment-c,gpt52_main,verified-error-candidate,none,617806385,True,terminal-summary,metrics.rule_reliability.unverified_false_rule_ever_active,true
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1099057501,failed,experiment-c,gpt52_main,verified-error-forced,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1421875452,failed,experiment-c,gpt52_main,verified-error-forced,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1769977770,failed,experiment-c,gpt52_main,verified-error-forced,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s959809858,failed,experiment-c,gpt52_main,verified-error-forced,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s617806385,failed,experiment-c,gpt52_main,verified-error-forced,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1099057501,failed,experiment-c,gpt52_main,unverified-error-forced,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1421875452,failed,experiment-c,gpt52_main,unverified-error-forced,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1769977770,failed,experiment-c,gpt52_main,unverified-error-forced,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s959809858,failed,experiment-c,gpt52_main,unverified-error-forced,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s617806385,failed,experiment-c,gpt52_main,unverified-error-forced,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--no-context--none--stage0-selected--s1099057501,failed,experiment-a,gpt52_main,no-context,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--no-context--none--stage0-selected--s1421875452,failed,experiment-a,gpt52_main,no-context,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--no-context--none--stage0-selected--s1769977770,failed,experiment-a,gpt52_main,no-context,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--no-context--none--stage0-selected--s959809858,failed,experiment-a,gpt52_main,no-context,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--no-context--none--stage0-selected--s617806385,failed,experiment-a,gpt52_main,no-context,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1099057501,failed,experiment-a,gpt52_main,prompt-only,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1421875452,failed,experiment-a,gpt52_main,prompt-only,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1769977770,failed,experiment-a,gpt52_main,prompt-only,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s959809858,failed,experiment-a,gpt52_main,prompt-only,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s617806385,failed,experiment-a,gpt52_main,prompt-only,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1099057501,failed,experiment-a,gpt52_main,retrieval-only,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1421875452,failed,experiment-a,gpt52_main,retrieval-only,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1769977770,failed,experiment-a,gpt52_main,retrieval-only,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s959809858,failed,experiment-a,gpt52_main,retrieval-only,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s617806385,failed,experiment-a,gpt52_main,retrieval-only,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--full--none--stage0-selected--s1099057501,failed,experiment-a,gpt52_main,full,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--full--none--stage0-selected--s1421875452,failed,experiment-a,gpt52_main,full,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--full--none--stage0-selected--s1769977770,failed,experiment-a,gpt52_main,full,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--full--none--stage0-selected--s959809858,failed,experiment-a,gpt52_main,full,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-a--gpt52_main--full--none--stage0-selected--s617806385,failed,experiment-a,gpt52_main,full,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1099057501,failed,experiment-d,gpt52_main,matched-a,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1421875452,failed,experiment-d,gpt52_main,matched-a,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1769977770,failed,experiment-d,gpt52_main,matched-a,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-a--none--stage0-selected--s959809858,failed,experiment-d,gpt52_main,matched-a,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-a--none--stage0-selected--s617806385,failed,experiment-d,gpt52_main,matched-a,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1099057501,failed,experiment-d,gpt52_main,matched-b,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1421875452,failed,experiment-d,gpt52_main,matched-b,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1769977770,failed,experiment-d,gpt52_main,matched-b,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-b--none--stage0-selected--s959809858,failed,experiment-d,gpt52_main,matched-b,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--matched-b--none--stage0-selected--s617806385,failed,experiment-d,gpt52_main,matched-b,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1099057501,failed,experiment-d,gpt52_main,no-memory,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1421875452,failed,experiment-d,gpt52_main,no-memory,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1769977770,failed,experiment-d,gpt52_main,no-memory,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--no-memory--none--stage0-selected--s959809858,failed,experiment-d,gpt52_main,no-memory,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--no-memory--none--stage0-selected--s617806385,failed,experiment-d,gpt52_main,no-memory,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1099057501,failed,experiment-d,gpt52_main,shuffled-episodic,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1421875452,failed,experiment-d,gpt52_main,shuffled-episodic,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1769977770,failed,experiment-d,gpt52_main,shuffled-episodic,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s959809858,failed,experiment-d,gpt52_main,shuffled-episodic,none,959809858,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s617806385,failed,experiment-d,gpt52_main,shuffled-episodic,none,617806385,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1099057501,failed,experiment-d,gpt52_main,wrong-context,none,1099057501,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1421875452,failed,experiment-d,gpt52_main,wrong-context,none,1421875452,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1769977770,failed,experiment-d,gpt52_main,wrong-context,none,1769977770,False,failure-audit-artifact,,null
finevo-pilot-v2.11.2--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s959809858,failed,experiment-d,gpt52_main,wrong-context,none,959809858,False,failure-audit-artifact,,null
