contrast_id,stage_id,left_arm,right_arm,threshold_id,seed,pair_status,left_status,right_status,left_rate,right_rate,left_minus_right_rate
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_1,1099057501,complete,complete,complete,0.0,0.0,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_1,1421875452,complete,complete,complete,0.0,0.0,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_1,1769977770,complete,complete,complete,0.0,0.0,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_1,959809858,complete,complete,complete,0.0,0.0,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_1,617806385,complete,complete,complete,0.0,0.0,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_20,1099057501,complete,complete,complete,0.1875,0.1875,0.0
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_20,1421875452,complete,complete,complete,0.125,0.22916666666666666,-0.10416666666666666
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_20,1769977770,complete,complete,complete,0.08333333333333333,0.22916666666666666,-0.14583333333333331
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_20,959809858,complete,complete,complete,0.0,0.16666666666666666,-0.16666666666666666
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_20,617806385,complete,complete,complete,0.020833333333333332,0.041666666666666664,-0.020833333333333332
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_40,1099057501,complete,complete,complete,0.4166666666666667,0.375,0.041666666666666685
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_40,1421875452,complete,complete,complete,0.375,0.3958333333333333,-0.020833333333333315
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_40,1769977770,complete,complete,complete,0.4375,0.6458333333333334,-0.20833333333333337
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_40,959809858,complete,complete,complete,0.125,0.3958333333333333,-0.2708333333333333
a_full_minus_prompt_only,experiment-a,full,prompt-only,h_lt_40,617806385,complete,complete,complete,0.20833333333333334,0.3541666666666667,-0.14583333333333334
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_1,1099057501,complete,complete,complete,0.0,0.0,0.0
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_1,1421875452,complete,complete,complete,0.0,0.0,0.0
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_1,1769977770,excluded-null,failed,complete,,0.0,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_1,959809858,excluded-null,failed,complete,,0.020833333333333332,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_1,617806385,excluded-null,complete,failed,0.020833333333333332,,
